id,osm_id,z_order,amenity,name,name:en,building,addr:housenumber,addr:housename,addr:street,addr:city,addr:state,addr:postcode,addr:place,addr:country,addr:hamlet,addr:suburb,addr:subdistrict,addr:district,addr:province,website,contact:website,phone,contact:phone,opening_hours,cuisine,religion,denomination,access,wheelchair,ele,brand,tower:type
452693,81175983,0,community_centre,Center for Community,,yes,2249,,Willard Loop Drive,Boulder,,,,,,,,,,,,,,,,,,,yes,,,
1202510,167319411,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216772,168647686,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629587,208617246,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,wheelchair,,,,
1629591,208617251,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
1629699,208621331,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629700,208621332,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,delivery,,,,
1629702,208621328,0,parking,380,,,,,,,,,,,,,,,,,,,,,,,,employee,,,,
1629704,208621336,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,employee,,,,
1629708,208621333,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629711,208621340,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629712,208621338,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,delivery,,,,
1629730,208622352,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,private,,,,
1629733,208622364,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,delivery,,,,
1629737,208622365,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629738,208622373,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,delivery,,,,
1629740,208622366,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,private,,,,
1629765,208623670,0,motorcycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
1629769,208623676,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
1629770,208623671,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
1640521,209822922,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640523,209822925,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
1640526,209822929,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640556,209826772,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640557,209826773,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640559,209826774,0,motorcycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640691,209852012,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
1640693,209852013,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
1640694,209852014,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
1640698,209852021,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
1640700,209852023,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640707,209852025,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640708,209852029,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640709,209852028,0,parking,Lot #445,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640749,209856670,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
1643444,210227866,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
1681823,216488703,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,students,,,,
1681824,216488704,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682337,216535337,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,students,,,,
1682339,216535338,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,students,,,,
1682340,216535339,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,students,,,,
1684199,216703154,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684201,216703155,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684222,216703180,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
1684223,216703182,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,
1684224,216703172,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2224704,264695712,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,permissive,,,,
1643441,210227861,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
3788249,431979100,0,parking,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684213,216703173,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2559891,303545094,0,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2559890,303545093,0,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
