X,Y,id,osm_id,z_order,amenity,name,name:en,building,addr:housenumber,addr:housename,addr:street,addr:city,addr:state,addr:postcode,addr:place,addr:country,addr:hamlet,addr:suburb,addr:subdistrict,addr:district,addr:province,website,contact:website,phone,contact:phone,opening_hours,cuisine,religion,denomination,access,wheelchair,ele,brand,tower:type
-105.275258944457988,40.007337616441646,1702802,1185576185,0,atm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-105.276069558313907,40.005565933567851,1711982,1195095271,0,post_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-105.274330481043464,40.008056699914903,2961649,2138298860,0,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-105.273616342893078,40.007008962018205,2981681,2153244295,0,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-105.274181366986014,40.008010599447431,2982241,2153573576,0,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-105.274184552109219,40.008042618317575,2982243,2153573578,0,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-105.27377610196757,40.008366327418116,2982247,2153573582,0,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-105.273913816636707,40.007675155682421,2990690,2161126310,0,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-105.275680135092458,40.007185987813216,3031988,2203467802,0,restaurant,Waffle Brothers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-105.275987667119892,40.007133098004203,3666924,2704329996,0,fast_food,"Food Court: Gurkhas, Boulder Salad, Boco Cafe, Thai Avenue, Korean, Mexican",,,,,,,,,,,,,,,,,,,,,,,,,,,,
-105.275000027468963,40.009490843547894,5305368,4097623447,0,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-105.265032435853087,40.007659062428331,7105177,5180923827,0,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-105.270996830513297,40.006966046673966,7107031,5181887465,0,atm,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,
-105.270975372841164,40.006966046673966,7107033,5181887466,0,atm,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,
-105.264505046505406,40.010521733819189,7107155,5181978344,0,parking_entrance,Folsom Parking Garage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-105.275213346904735,40.007184143794518,7748337,2203467803,0,cafe,Starbucks,,,1352,,College Avenue,,,,,,,,,,,http://zanitasmexican.com/,,,,,coffee_shop,,,,,,,
-105.261261752891443,40.002541826721881,7203523,5249709038,0,bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-105.271638632839284,40.009064623771508,256953,339490041,0,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
