X,Y,id,osm_id,z_order,amenity,name,name:en,building,addr:housenumber,addr:housename,addr:street,addr:city,addr:state,addr:postcode,addr:place,addr:country,addr:hamlet,addr:suburb,addr:subdistrict,addr:district,addr:province,website,contact:website,phone,contact:phone,opening_hours,cuisine,religion,denomination,access,wheelchair,ele,brand,tower:type
,,3122633,359423449,0,parking,ADA PARKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3830435,431979458,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,797103,115935885,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,2266365,264632644,0,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1264440,168647686,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1684624,209852012,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1684678,209856661,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,employee,,,,
,,1726084,216535336,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,students,,,,
,,1520981,194217265,0,parking,,,roof,,,,,,,,,,,,,,,,,,,,,,private,,,,
,,1651423,206436693,0,garage,Alumni Center Garage Annex,,garage,1202,,University Avenue,Boulder,,,,,,,,,,,,,,,,,,private,,,,
,,1673672,208621328,0,parking,380,,,,,,,,,,,,,,,,,,,,,,,,employee,,,,
,,1673674,208621336,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,employee,,,,
,,1673699,208622351,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,delivery,,,,
,,1673712,208622371,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,delivery,,,,
,,1673741,208623677,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1684451,209822921,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1684452,209822923,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1684489,209826773,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1684680,209856665,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,5338779,571147054,0,fountain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2602139,303545093,0,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2602140,303545094,0,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3830441,431980090,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154511,28775766,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,155214,28828206,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,313670,46146360,0,theatre,Macky Auditorium,,university,1595,,Pleasant Street,Boulder,,,,,,,,,,,,,,,,,,,,1646,,
,,314020,46187185,0,social_centre,Koenig Alumni Center,,yes,1202,,University Avenue,Boulder,,,,,,,,,,,,,,,,,,,,1652,,
,,314849,46371932,0,doctors,Wardenburg Health Center,,yes,1900,,Wardenburg Drive,Boulder,,,,,,,,,,,,,,,,,,,,1650,,
,,314850,46371942,0,social_centre,University Club,,yes,972,,Broadway,Boulder,,,,,,,,,,,,,,,,,,,,,,
,,315339,46493394,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,315340,46493408,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,employee,,,,
,,315341,46493409,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,employee,,,,
,,315342,46493403,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,319239,46938876,0,parking,436,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1661931,207507177,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,wheelchair,,,,
,,1673558,208617249,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1673561,208617251,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1673681,208621340,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1673701,208622363,0,motorcycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1673706,208622362,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,private,,,,
,,1673707,208622373,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,delivery,,,,
,,1673713,208622361,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,delivery,,,,
,,1673735,208623670,0,motorcycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1673743,208623673,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1683420,209688344,0,motorcycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,private,,,,
,,1684453,209822922,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1684455,209822925,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1684623,209852010,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1684626,209852014,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1684632,209852021,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1684636,209852023,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1684640,209852025,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1684683,209856672,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1684830,209875829,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1687368,210227860,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1694519,211011305,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1694521,211011308,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,disabled,,,,
,,1721450,215667610,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1725571,216488703,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,students,,,,
,,1725572,216488704,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1726083,216535337,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,students,,,,
,,1727938,216703158,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1727939,216703162,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1727942,216703160,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1727950,216703174,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1727953,216703176,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1727954,216703167,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1727955,216703175,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1727957,216703179,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1727958,216703180,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1727960,216703172,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1759861,219616740,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023525,241345813,0,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154510,28775761,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
