id,osm_id,z_order,building,building:levels,height,name,name:en,craft,office,leisure,shop,addr:housenumber,addr:housename,addr:street,addr:city,addr:state,addr:postcode,addr:place,addr:country,addr:hamlet,addr:suburb,addr:subdistrict,addr:district,addr:province,addr:interpolation,website,contact:website,phone,contact:phone,opening_hours,brand,construction,tower:type,disused
70101201,206751727,0,shed,,,Varsity Lake Pump Station,,,,,,1500,,University Avenue,Boulder,,,,,,,,,,,,,,,,,,,
75032609,215705010,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75032610,215705011,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279152551,46371901,0,university,12,,Duane Physics and Astrophysics,,,,,,2000,,Colorado Avenue,Boulder,,,,,,,,,,,,,,,,,,,
70390676,207507186,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70390678,207507189,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74941138,215499738,0,apartments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75000750,215665686,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75000758,215665694,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75000759,215665695,0,church,1,,St Aidan's Episcopal Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75000760,215665691,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001327,215667599,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001328,215667600,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001333,215667605,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001335,215667608,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211029044,466530281,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211029073,466530279,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277124778,542955658,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277124997,205305292,0,university,,,Cristol Chemistry and Biochemistry,,,,,,1606,,Central Campus Mall,Boulder,CO,80309,,,,,,,,,,,,,,,,,
39652734,136249436,0,yes,4,,Koelbel Building/Leeds School of Business,,,,,,995,,Regent Drive,Boulder,,,,,,,,,,,,,,,,,,,
