X,Y,id,osm_id,z_order,building,building:levels,height,name,name:en,craft,office,leisure,shop,addr:housenumber,addr:housename,addr:street,addr:city,addr:state,addr:postcode,addr:place,addr:country,addr:hamlet,addr:suburb,addr:subdistrict,addr:district,addr:province,addr:interpolation,website,contact:website,phone,contact:phone,opening_hours,brand,construction,tower:type,disused
,,122605529,301963744,0,construction,,,East District Energy Plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,203706775,454756536,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,278518753,46371901,0,university,12,,Duane Physics and Astrophysics,,,,,,2000,,Colorado Avenue,Boulder,,,,,,,,,,,,,,,,,,,
,,276489830,542955658,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,210420604,466530279,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,210420573,466530280,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,276917769,215705004,0,apartments,3.5,,University Court Condominiums,,,,,,1085,,Broadway,Boulder,CO,80302,,,,,,,,,,,,,,,,,
,,68532318,203657374,0,yes,8,20,Balch Fieldhouse,,,,,,1995,,Colorado Avenue,Boulder,,,,,,,,,,,,,,,,,,,
,,70223993,207507192,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74754215,215499734,0,apartments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,161270977,377378436,0,commercial,,,Indoor Practice Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74754214,215499735,0,apartments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74754218,215499738,0,apartments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74813622,215665686,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74813625,215665689,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74813633,215665697,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74814183,215667582,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74814184,215667583,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74814185,215667584,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74814189,215667588,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74814199,215667599,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74814204,215667604,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74814205,215667605,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,265913625,205668775,0,university,1,,Computer Science Department Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,276489831,206453459,0,yes,,,,,,,,,2150,,Colorado Avenue,Boulder,,,,,,,,,,,,,,,,,,,
,,278518580,-2762971,0,office,,,Administration Wing,,,educational_institution,,,,,,,,,,,,,,,,,,,,,,,,,
