id,osm_id,z_order,highway,name,name:en,ref,maxspeed,oneway,access,bicycle,foot,horse,motor_vehicle,motorcar,bridge,cutting,embankment,tunnel,service,toll,surface,width,construction,layer,junction,disused
9418801,17019362,0,service,Franklin Drive,,,,,,,,,,,,,,,,,,,,,,
9419255,17019971,0,service,Stadium Drive,,,,,,yes,,,,,,,,,,,,,,,,
22137983,43176747,10,path,,,,,,no,yes,yes,,,,yes,,,,,,,,,,,
22137985,43176752,0,service,,,,10 mph,yes,,,,,,,,,,,,,,,,,,
22137989,43176737,0,path,,,,,,,yes,yes,,,,,,,,,,paved,"10'0""",,,,
22803942,46143469,0,service,Stadium Drive,,,10 mph,,,yes,,,,,,,,,,,,,,,,
22831379,46275947,0,footway,,,,,,,yes,yes,,,,,,,,,,,,,,,
22831380,46275948,0,path,,,,,,,designated,designated,,,,,,,,,,,,,,,
22831382,46275952,0,service,,,,,,,,,,,,,,,,,,,,,,,
22831383,46275942,0,service,,,,,,,,,,,,,,,,,,,,,,,
22831385,46275957,0,footway,,,,,,,yes,yes,,,,,,,,,,,,,,,
22831387,46275956,0,path,,,,,,,yes,yes,,,,,,,,,,,"10'0""",,,,
9422811,17024236,4,tertiary,Macky Drive,,,,,permissive,yes,,,,,,,,,,,,,,,,
22804488,46145913,0,service,University Avenue,,,,no,,yes,,,,,,,,,driveway,,,,,,,
22842736,46371969,0,footway,,,,,,,,yes,,,,,,,,,,,,,,,
30110040,96605887,0,path,Boulder Creek Multi-use Path,,,,,,designated,designated,,no,,,,,,,,concrete,"10'0""",,,,
31402872,103501464,0,steps,,,,,,,,,,,,,,,,,,,,,,,
31402873,103501467,0,footway,pipe town path,,,,,,no,yes,no,no,,,,,,,,paved,,,,,
55512091,203830430,0,service,,,,,,,yes,,,,,,,,,parking_aisle,,,,,,,
56115119,206450885,0,path,,,,,,,designated,designated,,,,,,,,,,,,,,,
56524594,208190972,0,footway,,,,,,,yes,yes,,,,,,,,,,,,,,,
56612892,208609917,0,service,,,,,,,,,,,,,,,,,,,,,,,
57450721,213551006,0,service,,,,,,,,,,,,,,,,driveway,,,,,,,
69134791,274904374,0,footway,,,,,,,yes,yes,,,,,,,,,,,,,,,
69134807,274904388,0,footway,,,,,,,,yes,,,,,,,,,,,,,,,
69134827,274904405,0,footway,,,,,,,yes,yes,,,,,,,,,,,,,,,
69134830,274904416,0,footway,,,,,,,,yes,,,,,,,,,,,,,,,
69134848,274904425,0,path,,,,,,,designated,designated,,,,,,,,,,,,,,,
94823439,431977756,0,footway,,,,,,,,,,,,,,,,,,,,,,,
95518374,435398835,0,service,,,,10 mph,yes,,yes,,,,,,,,,,,,,,,,
95518375,435398834,0,service,Stadium Drive,,,10 mph,yes,,yes,,,,,,,,,,,,,,,,
96121391,438460080,0,steps,,,,,,,,,,,,,,,,,,,,,,,
96121394,438460083,0,path,,,,,,,,,,,,,,,,,,ground,,,,,
96121400,438460082,0,path,,,,,,,,,,,,,,,,,,ground,,,,,
96191086,438929270,0,steps,,,,,,,,,,,,,,,,,,,,,,,
96191088,438929269,0,footway,,,,,,,,,,,,,,,,,,,,,,,
96191090,438929271,0,steps,,,,,,,,,,,,,,,,,,,,,,,
96191091,438929274,0,footway,,,,,,,,,,,,,,,,,,,,,,,
96191092,438929275,0,footway,,,,,,,,,,,,,,,,,,,,,,,
96191096,438929279,0,footway,,,,,,,,,,,,,,,building_passage,,,,,,,,
96191097,438929280,0,footway,,,,,,,,,,,,,,,building_passage,,,,,,,,
96191098,438929283,0,footway,,,,,,,,,,,,,,,,,,,,,,,
96191100,438929281,0,footway,,,,,,,,,,,,,,,,,,,,,,,
106365067,505710969,0,path,,,,,,,designated,designated,,,,,,,,,,,"10'0""",,,,
110302742,534140136,0,steps,,,,,,,,,,,,,,,,,,,,,,,
110302743,534140138,0,path,,,,,,,,,,,,,,,,,,,,,,,
110404358,534894025,0,path,,,,,,,designated,designated,,,,,,,,,,,"10'0""",,,,
113268402,550474926,0,footway,,,,,,,yes,yes,,,,,,,,,,,,,,,
113268411,550475044,0,footway,,,,,,,,,,,,,,,,,,,,,,,
131746958,559569738,0,footway,,,,,,,,,,,,,,,,,,,,,,,
131746965,435398836,0,service,Stadium Drive,,,10 mph,no,,yes,,,,,,,,,,,,,,,,
131746968,559569733,0,footway,,,,,,,,,,,,,,,,,,,,,,,
131746972,534289535,0,service,,,,,,,,,,,,,,,,,,,,,,,
131746975,559569735,0,footway,,,,,,,,,,,,,,,,,,,,,,,
94823071,431976567,0,path,,,,,,,,,,,,,,,,,,,,,,,
22816908,46202544,0,footway,,,,,,,,yes,,,,,,,,,,,,,,,
55879024,205351478,0,footway,,,,,,,,,,,,,,,,,,,,,,,
