X,Y,id,osm_id,z_order,highway,name,name:en,ref,maxspeed,oneway,access,bicycle,foot,horse,motor_vehicle,motorcar,bridge,cutting,embankment,tunnel,service,toll,surface,width,construction,layer,junction,disused
-105.267699808899991,40.003480599877321,748887,176417471,0,traffic_signals,,,,,,,,,,,,,,,,,,,,,,,
-105.26970903490971,40.004541162085843,748889,176417482,0,traffic_signals,,,,,,,,,,,,,,,,,,,,,,,
-105.270512775605027,40.004989929181761,748902,176417575,0,traffic_signals,,,,,,,,,,,,,,,,,,,,,,,
-105.261402736502831,40.008223499788045,749338,176461594,0,traffic_signals,,,,,,,,,,,,,,,,,,,,,,,
-105.260678959163798,40.008737981004828,749339,176461590,0,turning_circle,,,,,,,,,,,,,,,,,,,,,,,
-105.264152336019862,40.008219057379364,749918,176520998,0,traffic_signals,,,,,,,,,,,,,,,,,,,,,,,
-105.269526728515686,40.004546777960996,1601206,416999022,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.267756554384476,40.003391164970452,1981650,544818007,0,traffic_signals,,,,,,,,,,,,,,,,,,,,,,,
-105.267038141463473,40.008253423182367,2814947,1195125401,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.266535646368226,40.005594096762508,2881519,1247866405,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.272400380199699,40.006058873293483,4265527,2047280722,0,traffic_signals,,,,,,,,,,,,,,,,,,,,,,,
-105.260397913950385,40.006302870494864,4491296,2185169012,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.270790803333284,40.006856243742391,4497249,2188969845,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.265925611455259,40.0040090788724,4548469,2219538922,0,bus_stop,,,,,,,,,,,,,,,,,,,,,,,
-105.269872733478692,40.005908250493462,4548470,2219538924,0,bus_stop,,,,,,,,,,,,,,,,,,,,,,,
-105.264834203843037,40.006669075844513,5067750,2501146391,0,street_lamp,,,,,,,,,,,,,,,,,,,,,,,
-105.26600264114542,40.007287576479683,5067754,2501146399,0,street_lamp,,,,,,,,,,,,,,,,,,,,,,,
-105.266480661083406,40.007124045548778,5067757,2501146406,0,street_lamp,,,,,,,,,,,,,,,,,,,,,,,
-105.265796446327343,40.006500851047832,5067759,2501146407,0,street_lamp,,,,,,,,,,,,,,,,,,,,,,,
-105.266338336367511,40.007189759669643,5067760,2501146405,0,street_lamp,,,,,,,,,,,,,,,,,,,,,,,
-105.262008664283243,40.007201745791207,5413283,2703448402,0,street_lamp,,,,,,,,,,,,,,,,,,,,,,,
-105.262205052274595,40.007293862907062,5413285,2703448404,0,street_lamp,,,,,,,,,,,,,,,,,,,,,,,
-105.260649371045588,40.006304463056466,6680966,3663245391,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.260157018053178,40.006303624866149,6680969,3663245390,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.261477419260103,40.00638828208821,6902827,3810756451,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.262172446671244,40.007929294986667,6902828,3810756455,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.270884429191739,40.005965582711156,6915120,3818242346,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.265404005620766,40.008298936916617,8025652,4719871263,0,bus_stop,Colorado Ave & Folsom St,,25124,,,,,,,,,,,,,,,,,,,,
-105.268995064397402,40.008187960518597,8025706,4719871514,0,bus_stop,Colorado Ave & 18th St,,25940,,,,,,,,,,,,,,,,,,,,
-105.261458057063777,40.007795938907151,8025767,4719871576,0,bus_stop,Regent Dr & Colorado Ave,,23666,,,,,,,,,,,,,,,,,,,,
-105.267222040419099,40.00317298403084,8025871,4719872286,0,bus_stop,Broadway & 20th St,,12434,,,,,,,,,,,,,,,,,,,,
-105.268574041400996,40.003992985618311,8025875,4719873797,0,bus_stop,Broadway & Regent Dr,,12585,,,,,,,,,,,,,,,,,,,,
-105.267625042323687,40.008372949121622,8025915,4719873830,0,bus_stop,Colorado Ave & 18th St,,25126,,,,,,,,,,,,,,,,,,,,
-105.263053049418659,40.008121994940609,8025980,4719875693,0,bus_stop,Colorado Ave & Folsom St (Farside),,26057,,,,,,,,,,,,,,,,,,,,
-105.261699036780016,40.008309917209772,8026003,4719875716,0,bus_stop,Colorado Ave & 26th St,,13040,,,,,,,,,,,,,,,,,,,,
-105.269676010211214,40.004767976385722,8026054,4719875765,0,bus_stop,18th St & Broadway,,34165,,,,,,,,,,,,,,,,,,,,
-105.264945012602979,40.008183937205075,8026166,4719876681,0,bus_stop,Colorado Ave & Folsom St,,13044,,,,,,,,,,,,,,,,,,,,
-105.259385044770895,40.008309917209772,8026207,4719878224,0,bus_stop,Colorado Ave & 28th St Farside,,13042,,,,,,,,,,,,,,,,,,,,
-105.261490075933892,40.006061974597657,8026373,4719880089,0,bus_stop,Regent Dr & Engineering Dr,,26009,,,,,,,,,,,,,,,,,,,,
-105.270180014049032,40.005896934924181,8026420,4719880133,0,bus_stop,Euclid Ave & 18th St,,33814,,,,,,,,,,,,,,,,,,,,
-105.268449737776919,40.005502650198878,8077079,4753670352,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.264014118436535,40.008136579452128,8077107,4753696756,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.261526537212703,40.008223080692886,8517046,5090716351,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.269398233940038,40.008171196712254,9389329,1195125411,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.264010430399139,40.008217045722603,9389331,4706171840,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.26518222046279,40.008168933598398,9389333,2268937711,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.276707169688308,40.010434394388113,8342985,4955909431,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.269554053520039,40.005459399578513,8473749,5052038547,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.261423272165601,40.008334476186064,8517044,5090716216,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.261235601353548,40.008059885038108,8517045,5090716336,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.259072902696715,40.0084066443724,8619702,5174231811,0,stop,,,,,,,,,,,,,,,,,,,,,,,
-105.265620677817807,40.009312057553188,8684924,5218631727,0,elevator,,,,,,,,,,,,,,,,,,,,,,,
-105.272358470683827,40.006061387864435,9144156,5401982104,0,milestone,18.0,,,,,,,,,,,,,,,,,,,,,,
-105.268903701652803,40.008262559456824,9389326,2137932948,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.264152000743735,40.008360040990738,9389334,4706171841,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.269535780971111,40.007877746282134,9389335,176565498,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.259073573248969,40.008369847817448,8517047,5090716337,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.266442355785898,40.006449134705235,5067758,2501146408,0,street_lamp,,,,,,,,,,,,,,,,,,,,,,,
-105.266172709960813,40.003968342822986,7032181,3915744466,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.265004021201321,40.008188966346978,8026116,4719876624,0,bus_stop,Colorado Ave & Folsom St,,34603,,,,,,,,,,,,,,,,,,,,
-105.27507202801722,40.00708699753676,8026291,4719880001,0,bus_stop,14th St & College Ave,,33136,,,,,,,,,,,,,,,,,,,,
-105.266379072416939,40.003959960919815,8026302,4719880017,0,bus_stop,Regent Dr & Broadway,,23668,,,,,,,,,,,,,,,,,,,,
-105.265284060586353,40.008300948573378,8026480,4719880696,0,bus_stop,Colorado Ave & Folsom St,,34598,,,,,,,,,,,,,,,,,,,,
-105.265620342541681,40.003985525724488,8473456,5051842824,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.262542004782176,40.008064746541947,6902829,3810756456,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.272381018003372,40.005662996006606,8025964,4719873879,0,bus_stop,16th St & Broadway,,33138,,,,,,,,,,,,,,,,,,,,
-105.264048065144394,40.008848957402847,8026313,4719880027,0,bus_stop,Folsom St & Colorado Ave (Fs),,33139,,,,,,,,,,,,,,,,,,,,
-105.269430504267262,40.005547577199906,8077080,4753670358,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.265205354515558,40.006945930106326,5067747,2501146388,0,street_lamp,,,,,,,,,,,,,,,,,,,,,,,
-105.265259250152965,40.006540916544992,5067752,2501146395,0,street_lamp,,,,,,,,,,,,,,,,,,,,,,,
-105.262207147750388,40.007202835438619,5413284,2703448403,0,street_lamp,,,,,,,,,,,,,,,,,,,,,,,
-105.269644075160116,40.006858925951406,8025747,4719871559,0,bus_stop,18th St & Euclid Ave,,25127,,,,,,,,,,,,,,,,,,,,
-105.264784666795279,40.003310698699977,8473750,5052038548,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.262381239879304,40.010548975004497,8619696,5174225624,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.264298851687343,40.008221739588379,9389327,4311849255,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.273424313491375,40.010547969176116,750086,176538294,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.274639437994438,40.007218258140455,1981663,544821826,0,traffic_signals,,,,,,,,,,,,,,,,,,,,,,,
-105.273359856655972,40.009425967617318,2738823,1133965319,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.273424900224597,40.006763623712317,4372229,2108702321,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.272764154797429,40.009601987583949,4419155,2138351520,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.273333621299031,40.010466999991479,7169964,4030731051,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.273076045414513,40.006481991765696,8026443,4719880163,0,bus_stop,Broadway & Euclid Ave,,12432,,,,,,,,,,,,,,,,,,,,
-105.269529662181796,40.006648791638838,9389325,1247866274,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.267732414503342,40.008254764286875,9389328,5090716329,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.267393282700937,40.003482443896019,9389336,2047329168,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.275989427319558,40.009435942082092,1279070,306456177,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.274546063593093,40.007271986139784,1981664,544821712,0,traffic_signals,,,,,,,,,,,,,,,,,,,,,,,
-105.261362671005656,40.007270980311404,2758917,1150193531,0,crossing,,,,,,,yes,,,,,,,,,,,,,,,,
-105.271318025042902,40.005557384026616,4265517,2047280696,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.271461523225227,40.005619493929117,4265524,2047280704,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.27157903750772,40.005592923296064,4265526,2047280725,0,traffic_signals,,,,,,,,,,,,,,,,,,,,,,,
-105.264843843031684,40.007267040816913,5067746,2501146379,0,street_lamp,,,,,,,,,,,,,,,,,,,,,,,
-105.265210718933588,40.006656083894597,5067749,2501146390,0,street_lamp,,,,,,,,,,,,,,,,,,,,,,,
-105.26057980124925,40.00636238200741,6902825,3810756450,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.266276980836281,40.003881171029974,7032182,3915744465,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.261480520564277,40.007863999960932,1993178,558822308,0,bus_stop,,,,,,,,,,,,,,,,,,,,,,,
-105.269025825982041,40.008191061822771,1993182,558822609,0,bus_stop,,,,,,,,,,,,,,,,,,,,,,,
-105.261384380134871,40.008084360195369,2758918,1150193546,0,crossing,,,,,,,yes,,,,,,,,,,,,,,,,
-105.26965648037681,40.004603439626436,2760395,1151779420,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.264248644087331,40.003312039804484,3649899,1730038470,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.269579450686649,40.005888888297136,4265525,2047280698,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.270611262967307,40.004942822885937,4265602,2047329007,0,traffic_signals,,,,,,,,,,,,,,,,,,,,,,,
