id,osm_id,z_order,landuse,construction,water,wood,amenity,leisure,tourism,name,name:en,operator,disused
19515915,543213365,3,residential,,,,,,attraction,,,,
758134,46197729,0,reservoir,,,,,,,Varsity Lake,,,
3258230,103498252,0,construction,,,,,,,,,,
6586874,209822919,0,grass,,,,,,,,,,
15425787,431976856,0,grass,,,,,,,,,,
15645680,438929286,0,grass,,,,,,,,,,
15645681,438929285,0,grass,,,,,,,,,,
15645682,438929287,0,grass,,,,,,,,,,
15645683,438929289,0,grass,,,,,,,,,,
17408736,482559475,0,grass,,,,,,,,,,
17408796,482560085,0,grass,,,,,,,,,,
17408895,482560850,0,grass,,,,,,,,,,
17408583,482556419,0,grass,,,,,,,,,,
17408896,482560851,0,grass,,,,,,,,,,
19510745,543119054,3,residential,,,,,,,University Hill,,,
15645684,438929288,0,grass,,,,,,,,,,
18910085,525127918,3,residential,,,,,,,,,,
6354742,203796978,0,recreation_ground,,,,,,,Farrand Field,,,
17408578,482556420,0,grass,,,,,,,,,,
17408631,482557433,0,grass,,,,,,,,,,
17408733,482559473,0,grass,,,,,,,,,,
17408737,482559478,0,grass,,,,,,,,,,
17408738,482559479,0,grass,,,,,,,,,,
17408794,482560080,0,forest,,,,,,,,,,
17408799,482560082,0,grass,,,,,,,,,,
17408800,482560084,0,grass,,,,,,,,,,
17408801,482560079,0,forest,,,,,,,,,,
17408813,482560501,0,grass,,,,,,,,,,
17408814,482560500,0,grass,,,,,,,,,,
17408815,482560499,0,grass,,,,,,,,,,
17408897,482560852,0,grass,,,,,,,,,,
17408975,482562384,0,forest,,,,,,,,,,
761034,46371892,0,recreation_ground,,,,,,,,,,
6349762,203657391,0,grass,,,,,,,,,,
17408579,482556418,0,grass,,,,,,,,,,
17408601,482557035,0,grass,,,,,,,,,,
17408734,482559474,0,grass,,,,,,,,,,
17408735,482559476,0,grass,,,,,,,,,,
17408798,482560087,0,grass,,,,,,,,,,
17408893,482560848,0,grass,,,,,,,,,,
17408894,482560849,0,grass,,,,,,,,,,
17408974,482562374,0,grass,,,,,,,,,,
