id,osm_id,z_order,landuse,construction,water,wood,amenity,leisure,tourism,name,name:en,operator,disused
16606308,438929288,0,grass,,,,,,,,,,
18369148,482556419,0,grass,,,,,,,,,,
18369362,482560085,0,grass,,,,,,,,,,
1724006,46197729,0,reservoir,,,,,,,Varsity Lake,,,
16606306,438929287,0,grass,,,,,,,,,,
16606307,438929289,0,grass,,,,,,,,,,
18369167,482557035,0,grass,,,,,,,,,,
18369197,482557433,0,grass,,,,,,,,,,
18369300,482559474,0,grass,,,,,,,,,,
18369302,482559475,0,grass,,,,,,,,,,
18369540,482562374,0,grass,,,,,,,,,,
18369541,482562384,0,forest,,,,,,,,,,
19869508,525127918,3,residential,,,,,,,,,,
20474576,543213365,3,residential,,,,,,attraction,,,,
16606305,438929286,0,grass,,,,,,,,,,
18369299,482559473,0,grass,,,,,,,,,,
18369301,482559476,0,grass,,,,,,,,,,
18369303,482559478,0,grass,,,,,,,,,,
18369359,482560080,0,forest,,,,,,,,,,
18369363,482560087,0,grass,,,,,,,,,,
18369366,482560084,0,grass,,,,,,,,,,
18369379,482560501,0,grass,,,,,,,,,,
18369462,482560851,0,grass,,,,,,,,,,
18369463,482560852,0,grass,,,,,,,,,,
18369381,482560499,0,grass,,,,,,,,,,
16386321,431976856,0,grass,,,,,,,,,,
18369145,482556418,0,grass,,,,,,,,,,
20469411,543119054,3,residential,,,,,,,University Hill,,,
18369304,482559479,0,grass,,,,,,,,,,
18369367,482560079,0,forest,,,,,,,,,,
18369461,482560850,0,grass,,,,,,,,,,
4224551,103498252,0,construction,,,,,,,,,,
7318921,203796978,0,recreation_ground,,,,,,,Farrand Field,,,
16606304,438929285,0,grass,,,,,,,,,,
18369144,482556420,0,grass,,,,,,,,,,
18369364,482560082,0,grass,,,,,,,,,,
18369380,482560500,0,grass,,,,,,,,,,
18369459,482560848,0,grass,,,,,,,,,,
18369460,482560849,0,grass,,,,,,,,,,
1726915,46371892,0,recreation_ground,,,,,,,,,,
7313944,203657391,0,grass,,,,,,,,,,
7550926,209822919,0,grass,,,,,,,,,,
