X,Y,id,osm_id,z_order,leisure,name,name:en,type,brand,access,harbour,water,sport,barrier,ele,building,surface
,,2973202,438929266,0,garden,,,,,,,,,,,,
,,281541,46275951,0,sports_centre,Student Recreation Center,,,,,,,multi,,1638,yes,
,,281846,46371964,0,pitch,Franklin Field,,,,,,,soccer,fence,,,
,,281847,46371963,0,sports_centre,Dal Ward Athletic Center,,,,,,,,,1632,yes,
,,284193,46938886,0,sports_centre,Coors Events/Conference Center,,,,,,,,,1644,stadium,
,,718782,116030899,0,pitch,,,,,,,,tennis,,,,
,,718783,116030907,0,pitch,,,,,,,,tennis,,,,
,,1241911,183669346,0,park,Norlin Quadrangle,,,,,,,,,,,
,,1673080,242160370,0,park,,,,,,,,,,,,
,,1830478,264683977,0,garden,,,,,,,,,,,,
,,3654336,542680411,0,park,,,,,,,,,,,,
,,1314437,194217258,0,pitch,,,,,,,,volleyball,,,,
,,1398652,206772029,0,pitch,Folsom Field,,,,,,,american_football,,,,grass
,,1445942,215667609,0,pitch,,,,,,,,beachvolleyball,,,,sand
,,1673086,242161211,0,park,,,,,,,,,,,,
,,1830479,264683979,0,garden,,,,,,,,,,,,
,,41748,-4292872,0,stadium,Folsom Field,,,,,,,american_football,,1635,yes,
,,148908,28828202,0,sports_centre,Carlson Gymnasium,,,,,,,,,1639,yes,
,,718777,116030890,0,pitch,,,,,,,,tennis,,,,
,,718778,116030892,0,pitch,,,,,,,,tennis,,,,
,,718780,116030895,0,pitch,,,,,,,,tennis,,,,
,,1194161,177619539,0,pitch,Kittredge Field,,,,,,,,,,,
,,988491,150275247,0,park,,,,,,,,,,,,
,,1123642,168647812,0,pitch,Kittredge Field,,,,,,,soccer,,,,
,,2777988,408750269,0,pitch,Tennis Courts,,,,,,,tennis,,,,paved
,,718779,116030893,0,pitch,,,,,,,,tennis,,,,
,,718781,116030896,0,pitch,,,,,,,,tennis,,,,
,,1123641,168647811,0,pitch,Kittredge Field,,,,,,,american_football,,,,
,,1830699,264695713,0,playground,,,,,,,,,,,,
,,3658947,543184012,0,park,,,,,,,,,,,,
,,1194162,177619603,0,pitch,,,,,,,,basketball,,,,
,,1398172,206682696,0,sports_centre,Basketball & Volleyball Practice Facility,,,,,,,,,,university,
,,2777987,408749779,0,swimming_pool,Ralphie Pool,,,,,,,,,,,
