id,osm_id,member,index,role,type,relname,name,ref,network,z_order,operator
1328910922,-1762361,400523678,231,forward,1,DIA/Boulder,Broadway,AB,RTD,0,
1328910978,-1762361,538172296,287,forward,1,DIA/Boulder,Broadway,AB,RTD,0,
1328913279,-1799991,400523678,117,forward,1,Boulder/Lafayette via Louisville,Broadway,DASH,RTD,0,
1328913378,-1799991,17018068,216,forward,1,Boulder/Lafayette via Louisville,Broadway,DASH,RTD,0,
1328913959,-1354820,41999152,286,forward,1,225,Broadway,225,Regional Transportation District,0,
1328915496,-1801508,373800000,25,forward,1,209,Colorado Avenue,209,Regional Transportation District,0,
1328917165,-1799021,17018068,31,forward,1,Route FF2: Denver / Boulder,Broadway,FF2,RTD,0,
1328917507,-1800762,538172296,95,forward,1,204,Broadway,204,Regional Transportation District,0,
1328919130,-2837636,477227306,38,,1,Buff Bus,Regent Drive,BUFF,,0,UCB
1328910918,-1762361,212055811,227,forward,1,DIA/Boulder,Broadway,AB,RTD,0,
1328911121,-2886340,17024893,62,,1,Stampede,Euclid Avenue,STMP,Regional Transportation District,0,
1328912982,-7077438,17020517,17,forward,1,209G,Regent Drive,209G,Regional Transportation District,0,
1328913385,-1799991,134064851,223,forward,1,Boulder/Lafayette via Louisville,Broadway,DASH,RTD,0,
1328913881,-1354820,400523678,208,forward,1,225,Broadway,225,Regional Transportation District,0,
1328915479,-1801508,217913344,8,forward,1,209,Broadway,209,Regional Transportation District,0,
1328915480,-1801508,212055812,9,forward,1,209,Broadway,209,Regional Transportation District,0,
1328917178,-1799021,400523673,44,forward,1,Route FF2: Denver / Boulder,Broadway,FF2,RTD,0,
1328917336,-1799021,134064851,202,forward,1,Route FF2: Denver / Boulder,Broadway,FF2,RTD,0,
1328910974,-1762361,400904098,283,forward,1,DIA/Boulder,Broadway,AB,RTD,0,
1328912685,-1798960,194216334,31,forward,1,Route FF1: Denver / Boulder,Broadway,FF1,RTD,0,
1328912689,-1798960,400523673,35,forward,1,Route FF1: Denver / Boulder,Broadway,FF1,RTD,0,
1328913955,-1354820,538172299,282,,1,225,Broadway,225,Regional Transportation District,0,
1328913979,-1516563,194216334,13,forward,1,,Broadway,93,US:CO,3,
1328913982,-1516563,400904098,16,forward,1,,Broadway,93,US:CO,3,
1328919081,-2123872,400523671,172,forward,1,,Broadway,SKIP,RTD,0,
1328910923,-1762361,93167832,232,forward,1,DIA/Boulder,Broadway,AB,RTD,0,
1328912972,-7077438,194213827,7,forward,1,209G,,209G,Regional Transportation District,0,
1328912977,-7077438,212055818,12,backward,1,209G,Regent Drive,209G,Regional Transportation District,0,
